Pergunta,Resp1,Pts1,Resp2,Pts2,Resp3,Pts3,Tema,Uso
O que faz com pilhas e baterias usadas?,Lixo reciclável comum,5,Posto de coleta específico,10,Lixo orgânico ou comum,0,Resíduos,2
Como descarta embalagens de delivery?,Jogo tudo no lixo comum,0,Limpo e separo para reciclagem,10,Separo mesmo sujas,0,Resíduos,2
O que faz com restos de poda e folhas?,Uso como cobertura ou compostagem,10,Queimo no fundo do quintal,0,Coloco em sacos para coleta,0,Resíduos,2
O que faz com papel de bala na rua?,Jogo no bueiro mais próximo,5,Guardo no bolso até achar lixeira,10,Jogo no chão,0,Resíduos,2
Como descarta medicamentos vencidos?,Guardo por tempo indeterminado,5,Vaso sanitário ou lixo comum,0,Entrego em farmácias ou postos,0,Resíduos,2
O que faz com latas de alumínio?,Amasso e separo para o coletor,10,Jogo no lixo comum,0,Coloco no reciclável sem amassar,0,Resíduos,2
Como descarta vidro quebrado?,Envolvo em papelão e sinalizo,10,Jogo direto no saco de lixo,0,Jogo no lixo reciclável solto,0,Resíduos,2
Qual sua atitude com plásticos de uso único?,Uso apenas quando necessário,5,Recuso sempre,10,Uso sem restrições,0,Resíduos,2
O que faz com roupas velhas sem uso?,Deixo guardadas sem uso,5,Jogo no lixo comum,0,Doou ou transformo em panos,0,Resíduos,2
Onde joga papel toalha usado?,Tento reciclar,5,Lixo comum (não reciclável),10,Jogo no chão ou rua,0,Resíduos,2
Como lava a louça?,Ensabôo tudo com torneira fechada,10,Abro a torneira pela metade,5,Torneira aberta o tempo todo,0,Água,1
Como usa a descarga do banheiro?,Seguro o botão mais que o necessário,5,Uso como lixeira,0,Uso apenas o tempo necessário,0,Água,2
O que faz com vazamento leve na torneira?,Conserto imediatamente,10,Deixo pingar,0,Coloco um balde embaixo,0,Água,2
Como lava o carro?,Uso lavadora de alta pressão,5,Uso balde e pano,10,Uso mangueira aberta,0,Água,2
O que faz com a água de chuva?,Acho a ideia boa mas não faço,5,Deixo escorrer para a rua,0,Capto para aguar plantas ou chão,0,Água,2
Como são seus banhos em dias frios?,Demoro um pouco mais que no calor,5,Mantenho o tempo reduzido,10,Fico o tempo necessário para aquecer,0,Água,2
Como escova os dentes?,Abro e fecho várias vezes,5,Deixo aberta enquanto escovo,0,Uso um copo ou fecho a torneira,0,Água,1
Como limpa a calçada?,Uso vassoura,10,Uso mangueira,0,Uso água de reuso,0,Água,2
Qual sua fonte de água para beber?,Compro galões de plástico,5,Filtro de barro ou purificador,10,Compro garrafinhas de 500ml,0,Água,1
O que faz com óleo no ralo da pia?,Faço sempre,0,Faço raramente com água quente,5,Nunca faço,0,Água,2
Como aproveita a luz natural?,Abro cortinas e janelas ao máximo,10,Deixo cortinas fechadas e luz acesa,0,Acendo a luz se houver sombra,0,Energia,2
Como usa o ar-condicionado?,Uso no mínimo e desligo logo,5,Deixo ligado com frestas abertas,0,Uso em 23 graus,0,Energia,2
O que faz com aparelhos em Stand-by?,Tiro da tomada os que não uso,10,Nem percebo que estão ligados,0,Desligo apenas no controle,0,Energia,1
Como usa a geladeira?,Abro e fico pensando,5,Abro apenas quando sei o que pegar,10,Deixo aberta enquanto preparo,0,Energia,2
O que faz com o computador ao sair?,Deixo em modo suspensão,5,Desligo ao sair por mais de 30min,10,Deixo ligado com monitor aceso,0,Energia,1
Qual tipo de lâmpada usa em casa?,Metade são LED,5,Uso as mais baratas,0,Todas são LED,0,Energia,2
Como usa o ferro de passar?,Acumulo muita roupa para de uma vez,10,Passo roupas em grupos pequenos,5,Passo uma peça por dia,0,Energia,1
Posição do chuveiro no calor?,Deixo no Inverno e controlo na torneira,5,Mudo para a posição Verão,10,Deixo no máximo sempre,0,Energia,2
O que faz com o carregador de celular?,Tiro da tomada após o uso,10,Fica na tomada 24h,0,Deixo na tomada sem o fio,0,Energia,1
Como usa a máquina de lavar?,Apenas com a capacidade cheia,10,Lavo poucas peças várias vezes,0,Uso com meia carga se precisar,0,Energia,1
Uso de sacolas de mercado?,Reutilizo as de plástico para lixo,5,Uso ecobags,10,Pego novas e descarto,0,Consumo,2
Uso de material de escritório?,Uso até o fim,10,Compro por estética e acumulo,0,Perco com frequência,0,Consumo,1
Quando troca de celular?,Quando começa a ficar lento,5,Assim que lança um modelo novo,0,Apenas se parar de funcionar,0,Consumo,1
Como usa papel impresso?,Imprimo só o importante,5,Uso os dois lados ou rascunho,10,Imprimo tudo e jogo verso fora,0,Consumo,2
Atitude com brindes de eventos?,Aceito e deixo guardado,5,Só aceito se for realmente usar,10,Aceito todos e jogo fora depois,0,Consumo,1
Como consome moda (Roupas)?,Brechós ou marcas éticas,10,Compro toda semana tendências,0,Grandes lojas de shopping,0,Consumo,1
Preferência de embalagens?,Prefiro a granel ou grandes,10,Prefiro embalagens individuais,0,Não olho embalagem,0,Consumo,1
Qual tipo de pilha prefere?,Compro as mais baratas,0,Uso alcalinas de boa marca,5,Uso pilhas recarregáveis,0,Consumo,2
O que faz com objetos quebrados?,Levo para assistência se for caro,5,Tento consertar antes de descartar,10,Quebrou compro um novo,0,Consumo,1
Consumo de ultraprocessados?,Consumo moderadamente,5,Evito pelo excesso de embalagem,10,Base da minha dieta,0,Consumo,2
Trajeto para a faculdade?,Ônibus bike ou a pé,10,Carro sozinho,0,Carona dividida,0,Mobilidade,2
Como faz manutenção do veículo?,Apenas quando algo quebra,5,Filtros e pneus sempre em dia,10,Não faço preventiva,0,Mobilidade,1
Uso de escadas?,Elevador se estiver com pressa,5,Elevador sempre,0,Subo até 3 andares de escada,0,Mobilidade,2
Atitude sobre queima de lixo?,Denuncio ou oriento vizinhos,10,Eu mesmo queimo para limpar,0,Incomoda mas não faço nada,0,Mobilidade,1
Onde descarta bitucas de cigarro?,Lixo após apagar,5,Não fumo ou uso cinzeiro portátil,10,Jogo no chão ou bueiro,0,Mobilidade,2
Viagens curtas no bairro?,Vou de bike,5,Vou de carro ou moto,0,Vou a pé,0,Mobilidade,1
Calibragem dos pneus?,Toda semana,10,Só se parecer murcho,0,Uma vez por mês,0,Mobilidade,1
Motor do carro parado?,Deixo ligado se o ar estiver ligado,5,Desligo se esperar mais de 2 min,10,Deixo ligado o tempo todo,0,Mobilidade,2
Uso de apps de entrega?,Evito para diminuir tráfego,10,Uso diariamente,0,Uso nos finais de semana,0,Mobilidade,2
Atitude sobre caronas?,Ofereço e peço sempre,10,Prefiro ir sozinho,0,Aceito se me oferecerem,0,Mobilidade,1
Tipos de plantas em casa?,Espécies nativas,10,Não gosto de plantas,0,Ornamentais comuns,0,Biodiversidade,2
Relação com animais silvestres?,Tiro foto mas não interajo,5,Observo e respeito o espaço,10,Tento espantar ou jogar pedras,0,Biodiversidade,1
Atitude com pássaros no quintal?,Coloco sementes compradas,5,Coloco água limpa e frutas nativas,10,Prefiro que não venham,0,Biodiversidade,2
Uso de agrotóxicos no jardim?,Métodos naturais,10,Uso venenos químicos fortes,0,Apenas em último caso,0,Biodiversidade,1
Comportamento em trilhas?,Trago lixo mas pego uma flor,5,Deixo restos de comida,0,Trago meu lixo e sigo a trilha,0,Biodiversidade,2
Atitude com abelhas?,Sei da importância e não mato,10,Tento matar,0,Tenho medo mas deixo em paz,0,Biodiversidade,2
Árvore na calçada?,Acho bonito mas não cuido,5,Cuido e ajudo a regar,10,Acho que suja a rua,0,Biodiversidade,2
Como compra flores?,Compro buquês raramente,5,Prefiro vasos (vivas),10,Compro flores de plástico,0,Biodiversidade,2
Incêndios em matas?,Fico olhando e comento,5,Aviso os bombeiros imediatamente,10,Não me envolvo,0,Biodiversidade,2
Alimentar animais de rua?,Jogo restos de comida no chão,5,Coloco ração e água de forma limpa,10,Ignoro a existência,0,Biodiversidade,2
Desperdício de comida?,Sobra um pouco de vez em quando,5,Como tudo o que coloco no prato,10,Sempre sobra e jogo fora,0,Alimentação,1
Origem dos alimentos?,Compro de produtores locais,10,Não me importo com a origem,0,Compro o que está barato,0,Alimentação,1
Consumo de carne bovina?,Como apenas nos fins de semana,5,Substituo alguns dias da semana,10,Como em quase todas as refeições,0,Alimentação,1
Frutas e legumes feios?,Compro sem problemas se bons,10,Só os esteticamente perfeitos,0,Só se estiver em promoção,0,Alimentação,1
Uso de canudos?,Uso se for de papel,5,Dispenso o uso sempre,10,Exijo canudo de plástico,0,Alimentação,2
Compostagem doméstica?,Conheço mas não tenho espaço,5,Faço ou levo para quem faz,10,Acho nojento,0,Alimentação,1
Cozimento de alimentos?,Tampo as panelas,10,Deixo destampado,0,Tampo apenas quando ferve,0,Alimentação,2
Uso do micro-ondas?,Uso para descongelar tudo,5,Uso para porções pequenas,10,Uso para quase tudo,0,Alimentação,1
Embalagem de bebidas?,Prefiro lata,5,Prefiro vidro retornável,10,Prefiro garrafa PET,0,Alimentação,2
Cascas de frutas e legumes?,Jogo no lixo orgânico,5,Reaproveito em receitas ou adubo,10,Jogo no lixo comum,0,Alimentação,1
Critério de voto (Política)?,Voto em pautas ecológicas,10,Ecologia não é tema político,0,Leio sobre mas não priorizo,0,Ética,2
Educação ambiental de outros?,Corrijo apenas próximos,5,Ensino pelo exemplo,10,Cada um faz o que quer,0,Ética,2
Ativismo ambiental?,Compartilho posts,5,Participo de abaixo-assinados,10,Acho perda de tempo,0,Ética,2
Poluição sonora?,Uso som alto apenas de dia,5,Evito som alto,10,Uso som alto sempre,0,Ética,2
Limpeza de praia ou rio?,Recolho lixos que encontro,10,Deixo para a maré levar,0,Só recolho meu próprio lixo,0,Ética,1
Consumo de papel higiênico?,Uso bastante sem desperdício,5,Uso apenas o necessário,10,Uso sem necessidade,0,Ética,1
Produtos de limpeza em casa?,Uso vinagre e bicarbonato,10,Uso químicos fortíssimos,0,Uso produtos comuns,0,Ética,1
Respeito às cores das lixeiras?,Na dúvida jogo em qualquer uma,5,Respeito rigorosamente,10,Jogo na que estiver vazia,0,Ética,2
Obsolescência programada?,Reclamo mas compro igual,5,Procuro marcas que facilitam reparo,10,Acho normal durar pouco,0,Ética,2
Informação sobre o clima?,Me informo por redes sociais,5,Procuro fontes científicas,10,Não acredito em crise ambiental,0,Ética,1
Uso de detergente?,O que estiver em promoção,5,Neutro e em pequena quantidade,10,Muito sabão para fazer espuma,0,Higiene,2
Uso de amaciante?,Uso a tampa medida,5,Coloco no olho,0,Uso vinagre ou pouco amaciante,0,Higiene,1
Uso de aerossóis?,Uso spray sem exagerar,5,Prefiro roll-on ou líquidos,10,Uso spray para tudo,0,Higiene,2
Qual esponja de prato usa?,Uso sintética até gastar,5,Uso bucha vegetal,10,Troco a sintética toda semana,0,Higiene,1
Restos de tinta?,Deixo secar e jogo no lixo,5,Levo a centros de descarte químico,10,Jogo no bueiro ou terra,0,Higiene,2
Produtos de limpeza?,Compro embalagens refil,5,Faço misturas caseiras,10,Uma garrafa nova para cada função,0,Higiene,1
Lavagem de toalhas de banho?,Lavo a cada 2 dias,5,Reutilizo várias vezes,10,Uso uma nova a cada banho,0,Higiene,2
Uso de sabão em pó?,Versões concentradas,10,Coloco em excesso,0,Respeito a medida,0,Higiene,1
Uso de cotonetes?,Uso plástico mas jogo no lixo,5,Apenas se a haste for de papel,10,Jogo no vaso sanitário,0,Higiene,1
Limpeza de eletrônicos?,Limpadores multiuso,5,Pano seco ou álcool isopropílico,10,Pano muito úmido com sabão,0,Higiene,1
Escolha de presentes?,Experiências ou algo útil,10,Algo grande com muito embrulho,0,Algo físico com embalagem simples,0,Estilo,1
Plásticos no freezer?,Uso potes de plástico reutilizáveis,5,Uso potes de vidro ou silicone,10,Uso sacos descartáveis,0,Estilo,1
Compras online?,Agrupo pedidos,10,Peço itens individuais de várias lojas,0,Compro assim que sinto vontade,0,Estilo,1
Revistas e jornais?,Leio físico e mando reciclar,5,Leio versão digital,10,Acumulo e jogo no lixo comum,0,Estilo,1
Festas de aniversário?,Uso descartáveis biodegradáveis,5,Uso pratos e copos laváveis,10,Uso tudo de plástico,0,Estilo,1
Artesanato com lixo?,Pratico o Upcycling,10,Acho que lixo não vira arte,0,Faço raramente,0,Estilo,2
Papel de presente?,Reutilizo ou uso jornal,10,Rasgo tudo e jogo no lixo,0,Compro novo e jogo fora,0,Estilo,1
Água engarrafada?,Compro se esquecer a minha,5,Tenho minha garrafa reutilizável sempre,10,Compro toda vez que tenho sede,0,Estilo,2
Frequência de lavagem de jeans?,Lavo após 3 ou 4 usos,5,Lavo apenas se estiver sujo,10,Lavo após cada uso,0,Estilo,2
Visão de futuro?,Minhas pequenas ações somam,10,Nada que eu faça mudará o mundo,0,Faço minha parte mas sou pessimista,0,Estilo,1